,Name,Team,Number,Position,Age,Height,Weight,College,Salary
334,Courtney Lee,Charlotte Hornets,1,SG,30,150,200,Western Kentucky,5675000.0
335,Jeremy Lin,Charlotte Hornets,7,PG,27,164,200,Harvard,2139000.0
336,Kemba Walker,Charlotte Hornets,15,PG,26,180,184,Connecticut,12000000.0
337,Marvin Williams,Charlotte Hornets,2,PF,29,168,237,North Carolina,7000000.0
338,Cody Zeller,Charlotte Hornets,40,C,23,157,240,Indiana,4204200.0
339,Chris Bosh,Miami Heat,1,PF,32,172,235,Georgia Tech,22192730.0
340,Luol Deng,Miami Heat,9,SF,31,178,220,Duke,10151612.0
341,Goran Dragic,Miami Heat,7,PG,30,167,190,,14783000.0
342,Gerald Green,Miami Heat,14,SF,30,162,205,,947276.0
343,Udonis Haslem,Miami Heat,40,PF,36,152,235,Florida,2854940.0
344,Joe Johnson,Miami Heat,2,SF,34,168,240,Arkansas,261894.0
345,Tyler Johnson,Miami Heat,8,SG,24,152,186,Fresno State,845059.0
346,Josh McRoberts,Miami Heat,4,PF,29,155,240,Duke,5543725.0
347,Josh Richardson,Miami Heat,0,SG,22,156,200,Tennessee,525093.0
348,Amar'e Stoudemire,Miami Heat,5,PF,33,159,245,,947276.0
349,Dwyane Wade,Miami Heat,3,SG,34,165,220,Marquette,20000000.0
350,Briante Weber,Miami Heat,12,PG,23,164,165,Virginia Commonwealth,
351,Hassan Whiteside,Miami Heat,21,C,26,161,265,Marshall,981348.0
352,Justise Winslow,Miami Heat,20,SF,20,169,225,Duke,2481720.0
353,Dorell Wright,Miami Heat,11,SF,30,150,205,,
354,Dewayne Dedmon,Orlando Magic,3,C,26,163,245,USC,947276.0
355,Evan Fournier,Orlando Magic,10,SG,23,165,205,,2288205.0
356,Aaron Gordon,Orlando Magic,0,PF,20,159,220,Arizona,4171680.0
357,Mario Hezonja,Orlando Magic,23,SG,21,151,218,,3741480.0
358,Ersan Ilyasova,Orlando Magic,7,PF,29,173,235,,7900000.0
359,Brandon Jennings,Orlando Magic,55,PG,26,174,169,,8344497.0
360,Devyn Marble,Orlando Magic,11,SF,23,173,200,Iowa,845059.0
361,Shabazz Napier,Orlando Magic,13,PG,24,177,175,Connecticut,1294440.0
362,Andrew Nicholson,Orlando Magic,44,PF,26,177,250,St. Bonaventure,2380593.0
363,Victor Oladipo,Orlando Magic,5,SG,24,157,210,Indiana,5192520.0
364,Elfrid Payton,Orlando Magic,4,PG,22,178,185,Louisiana-Lafayette,2505720.0
365,Jason Smith,Orlando Magic,14,PF,30,151,240,Colorado State,4300000.0
366,Nikola Vucevic,Orlando Magic,9,C,25,178,260,USC,11250000.0
367,C.J. Watson,Orlando Magic,32,PG,32,159,175,Tennessee,5000000.0
368,Alan Anderson,Washington Wizards,6,SG,33,178,220,Michigan State,4000000.0
369,Bradley Beal,Washington Wizards,3,SG,22,161,207,Florida,5694674.0
370,Jared Dudley,Washington Wizards,1,SF,30,176,225,Boston College,4375000.0
371,Jarell Eddie,Washington Wizards,8,SG,24,173,218,Virginia Tech,561716.0
372,Drew Gooden,Washington Wizards,90,PF,34,165,250,Kansas,3300000.0
373,Marcin Gortat,Washington Wizards,13,C,32,163,240,,11217391.0
374,JJ Hickson,Washington Wizards,21,C,27,153,242,North Carolina State,273038.0
375,Nene Hilario,Washington Wizards,42,C,33,158,250,,13000000.0
376,Markieff Morris,Washington Wizards,5,PF,26,171,245,Kansas,8000000.0
377,Kelly Oubre Jr.,Washington Wizards,12,SF,20,180,205,Kansas,1920240.0
378,Otto Porter Jr.,Washington Wizards,22,SF,23,178,198,Georgetown,4662960.0
379,Ramon Sessions,Washington Wizards,7,PG,30,168,190,Nevada,2170465.0
380,Garrett Temple,Washington Wizards,17,SG,30,169,195,LSU,1100602.0
381,Marcus Thornton,Washington Wizards,15,SF,29,158,205,LSU,200600.0
382,John Wall,Washington Wizards,2,PG,25,166,195,Kentucky,15851950.0
383,Darrell Arthur,Denver Nuggets,0,PF,28,159,235,Kansas,2814000.0
384,D.J. Augustin,Denver Nuggets,12,PG,28,175,183,Texas,3000000.0
385,Will Barton,Denver Nuggets,5,SF,25,153,175,Memphis,3533333.0
386,Wilson Chandler,Denver Nuggets,21,SF,29,168,225,DePaul,10449438.0
387,Kenneth Faried,Denver Nuggets,35,PF,26,173,228,Morehead State,11235955.0
388,Danilo Gallinari,Denver Nuggets,8,SF,27,152,225,,14000000.0
389,Gary Harris,Denver Nuggets,14,SG,21,169,210,Michigan State,1584480.0
390,Nikola Jokic,Denver Nuggets,15,C,21,163,250,,1300000.0
391,Joffrey Lauvergne,Denver Nuggets,77,C,24,164,220,,1709719.0
392,Mike Miller,Denver Nuggets,3,SG,36,159,218,Florida,947276.0
393,Emmanuel Mudiay,Denver Nuggets,0,PG,20,164,200,,3102240.0
394,Jameer Nelson,Denver Nuggets,1,PG,34,167,190,Saint Joseph's,4345000.0
395,Jusuf Nurkic,Denver Nuggets,23,C,21,174,280,,1842000.0
396,JaKarr Sampson,Denver Nuggets,9,SG,23,154,214,St. John's,258489.0
397,Axel Toupane,Denver Nuggets,6,SG,23,163,210,,
398,Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,159,240,,3950001.0
399,Gorgui Dieng,Minnesota Timberwolves,5,C,26,175,241,Louisville,1474440.0
400,Kevin Garnett,Minnesota Timberwolves,21,PF,40,162,240,,8500000.0
401,Tyus Jones,Minnesota Timberwolves,1,PG,20,174,195,Duke,1282080.0
402,Zach LaVine,Minnesota Timberwolves,8,PG,21,175,189,UCLA,2148360.0
403,Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,166,223,UCLA,2056920.0
404,Adreian Payne,Minnesota Timberwolves,33,PF,25,179,237,Michigan State,1938840.0
405,Nikola Pekovic,Minnesota Timberwolves,14,C,30,170,307,,12100000.0
406,Tayshaun Prince,Minnesota Timberwolves,12,SF,36,151,212,Kentucky,947276.0
407,Ricky Rubio,Minnesota Timberwolves,9,PG,25,162,194,,12700000.0
408,Damjan Rudez,Minnesota Timberwolves,10,SF,29,166,230,,1149500.0
409,Greg Smith,Minnesota Timberwolves,4,PF,25,163,250,Fresno State,
410,Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,155,244,Kentucky,5703600.0
411,Andrew Wiggins,Minnesota Timberwolves,22,SG,21,166,199,Kansas,5758680.0
412,Steven Adams,Oklahoma City Thunder,12,C,22,163,255,Pittsburgh,2279040.0
413,Nick Collison,Oklahoma City Thunder,4,PF,35,166,255,Kansas,3750000.0
414,Kevin Durant,Oklahoma City Thunder,35,SF,27,159,240,Texas,20158622.0
415,Randy Foye,Oklahoma City Thunder,6,SG,32,152,213,Villanova,3135000.0
416,Josh Huestis,Oklahoma City Thunder,34,SF,24,157,230,Stanford,1140240.0
417,Serge Ibaka,Oklahoma City Thunder,9,PF,26,174,245,,12250000.0
418,Enes Kanter,Oklahoma City Thunder,11,C,24,153,245,Kentucky,16407500.0
419,Mitch McGary,Oklahoma City Thunder,33,PF,24,150,255,Michigan,1463040.0
420,Nazr Mohammed,Oklahoma City Thunder,13,C,38,150,250,Kentucky,222888.0
421,Anthony Morrow,Oklahoma City Thunder,2,SG,30,158,210,Georgia Tech,3344000.0
422,Cameron Payne,Oklahoma City Thunder,22,PG,21,175,185,Murray State,2021520.0
423,Andre Roberson,Oklahoma City Thunder,21,SG,24,171,210,Colorado,1210800.0
424,Kyle Singler,Oklahoma City Thunder,5,SF,28,155,228,Duke,4500000.0
425,Dion Waiters,Oklahoma City Thunder,3,SG,24,164,220,Syracuse,5138430.0
426,Russell Westbrook,Oklahoma City Thunder,0,PG,27,166,200,UCLA,16744218.0
427,Cliff Alexander,Portland Trail Blazers,34,PF,20,180,240,Kansas,525093.0
428,Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,166,215,Wake Forest,8042895.0
429,Pat Connaughton,Portland Trail Blazers,5,SG,23,176,206,Notre Dame,625093.0
430,Allen Crabbe,Portland Trail Blazers,23,SG,24,162,210,California,947276.0
431,Ed Davis,Portland Trail Blazers,17,C,27,179,240,North Carolina,6980802.0
432,Maurice Harkless,Portland Trail Blazers,4,SF,23,175,215,St. John's,2894059.0
433,Gerald Henderson,Portland Trail Blazers,9,SG,28,150,215,Duke,6000000.0
434,Chris Kaman,Portland Trail Blazers,35,C,34,150,265,Central Michigan,5016000.0
435,Meyers Leonard,Portland Trail Blazers,11,PF,24,173,245,Illinois,3075880.0
436,Damian Lillard,Portland Trail Blazers,0,PG,25,178,195,Weber State,4236287.0
437,C.J. McCollum,Portland Trail Blazers,3,SG,24,173,200,Lehigh,2525160.0
438,Luis Montero,Portland Trail Blazers,44,SG,23,171,185,Westchester CC,525093.0
439,Mason Plumlee,Portland Trail Blazers,24,C,26,170,235,Duke,1415520.0
440,Brian Roberts,Portland Trail Blazers,2,PG,30,170,173,Dayton,2854940.0
441,Noah Vonleh,Portland Trail Blazers,21,PF,20,176,240,Indiana,2637720.0
442,Trevor Booker,Utah Jazz,33,PF,28,170,228,Clemson,4775000.0
443,Trey Burke,Utah Jazz,3,PG,23,176,191,Michigan,2658240.0
444,Alec Burks,Utah Jazz,10,SG,24,172,214,Colorado,9463484.0
445,Dante Exum,Utah Jazz,11,PG,20,156,190,,3777720.0
446,Derrick Favors,Utah Jazz,15,PF,24,178,265,Georgia Tech,12000000.0
447,Rudy Gobert,Utah Jazz,27,C,23,171,245,,1175880.0
448,Gordon Hayward,Utah Jazz,20,SF,26,158,226,Butler,15409570.0
449,Rodney Hood,Utah Jazz,5,SG,23,156,206,Duke,1348440.0
450,Joe Ingles,Utah Jazz,2,SF,28,171,226,,2050000.0
451,Chris Johnson,Utah Jazz,23,SF,26,167,206,Dayton,981348.0
452,Trey Lyles,Utah Jazz,41,PF,20,167,234,Kentucky,2239800.0
453,Shelvin Mack,Utah Jazz,8,PG,26,162,203,Butler,2433333.0
454,Raul Neto,Utah Jazz,25,PG,24,170,179,,900000.0
455,Tibor Pleiss,Utah Jazz,21,C,26,155,256,,2900000.0
456,Jeff Withey,Utah Jazz,24,C,26,176,231,Kansas,947276.0
457,Priyanka,Utah Jazz,34,C,25,163,231,Kansas,947276.0
